authors,#enterseriesname,#enterseriesindex,title,#titleparttwo,series,series_index
"Karen Rock","","","Falling for a Cowboy","","","1.0"
"Juliet Landon","","","The Mistress and the Merchant","","","1.0"
"Karen Ellis","","","A Map of the Dark","","","1.0"
"Joy Avery","","","Soaring on Love","","","1.0"
"Josie Angelini","","","Snow Lane","","","1.0"
"Joseph Duncan","Oldest Living Vampire Saga","6","The Oldest Living Vampire Unleashed","","Oldest Living Vampire Saga","6.0"
"Johnny D. Boggs","","","The Raven's Honor","","","1.0"
"John Bude","British Library Crime Classics","0","Death Makes a Prophet","","British Library Crime Classics","0.0"
"Jolene Navarro","","","The Texan's Twins","","","1.0"
"Jo Leigh","","","The Navy SEAL's Rescue","","","1.0"
"Jo Ann Brown","","","An Amish Arrangement","","","1.0"
"Jill Elizabeth Nelson","","","Duty to Defend","","","1.0"
"Jennifer L. Armentrout","","","Meet Cute","","","1.0"
"Jennifer Castle","","","Together at Midnight","","","1.0"
"Jennifer Ashley","","","Death Below Stairs","","","1.0"
"Ashley Gardner & Jennifer Ashley","Kat Holloway Victorian Mysteries","","A Soupçon of Poison","","Kat Holloway Victorian Mysteries","1.0"
"Jenn McKinlay","","","Every Dog Has His Day","","","1.0"
"Jessica Gunderson","","","The Songs of Stones River","","","1.0"
"Jeffrey Siger","Chief Inspector Andreas Kaldis Mysteries","9","An Aegean April","","Chief Inspector Andreas Kaldis Mysteries","9.0"
"Jean C. Gordon","","","A Mom for His Daughter","","","1.0"
"Jen Calonita","","","Turn It Up!","","","1.0"
"Jayne Ann Krentz","","","Promise Not to Tell","","","1.0"
"Jasinda Wilder","","","Badd Mojo","","","1.0"
"Jane Porter","","","His Merciless Marriage Bargain","","","1.0"
"Janice Kay Johnson","","","Back Against the Wall","","","1.0"
"Jane Godman","","","Secret Baby, Second Chance","","","1.0"
"James Patterson","","","Murder Is Forever, Volume 1","","","1.0"
"James Patterson","","","Murder is Forever, Volume 2","","","1.0"
"James Michael Ullman","","","The Neon Haystack","","","1.0"
